기업명,연도,보고서유형,성별,정규직,계약직,총급여
GS글로벌,2023,사업보고서,남,0.0,0.0,22237000000.0
GS글로벌,2023,사업보고서,여,0.0,0.0,4071000000.0
GS리테일,2022,반기보고서,남,0.0,0.0,123469000000.0
GS리테일,2022,반기보고서,여,0.0,0.0,35742000000.0
GS리테일,2022,사업보고서,남,0.0,0.0,249420000000.0
GS리테일,2022,사업보고서,여,0.0,0.0,73321000000.0
GS리테일,2023,반기보고서,남,0.0,0.0,124203000000.0
GS리테일,2023,반기보고서,여,0.0,0.0,37399000000.0
GS리테일,2023,사업보고서,남,0.0,0.0,262559000000.0
GS리테일,2023,사업보고서,여,0.0,0.0,82070000000.0
HDC,2022,반기보고서,남,0.0,0.0,272000000.0
HDC,2022,반기보고서,여,0.0,0.0,17000000.0
HDC,2022,사업보고서,남,0.0,0.0,665000000.0
HDC,2022,사업보고서,여,0.0,0.0,68000000.0
HDC,2023,반기보고서,남,0.0,0.0,484000000.0
HDC,2023,반기보고서,여,0.0,0.0,50000000.0
HDC,2023,사업보고서,남,0.0,0.0,983000000.0
HDC,2023,사업보고서,여,0.0,0.0,105000000.0
HDC현대EP,2022,반기보고서,남,0.0,0.0,10765000000.0
HDC현대EP,2022,반기보고서,여,0.0,0.0,754000000.0
HDC현대EP,2022,사업보고서,남,0.0,0.0,21068000000.0
HDC현대EP,2022,사업보고서,여,0.0,0.0,1468000000.0
HDC현대EP,2023,반기보고서,남,0.0,0.0,11190000000.0
HDC현대EP,2023,반기보고서,여,0.0,0.0,862000000.0
HDC현대EP,2023,사업보고서,남,0.0,0.0,22890000000.0
HDC현대EP,2023,사업보고서,여,0.0,0.0,1770000000.0
HD한국조선해양,2022,반기보고서,남,0.0,0.0,26006521000.0
HD한국조선해양,2022,반기보고서,여,0.0,0.0,4003361000.0
HD한국조선해양,2022,사업보고서,남,0.0,0.0,63758395000.0
HD한국조선해양,2022,사업보고서,여,0.0,0.0,9307080000.0
HD한국조선해양,2023,반기보고서,남,0.0,0.0,39164134000.0
HD한국조선해양,2023,반기보고서,여,0.0,0.0,5730602000.0
HD한국조선해양,2023,사업보고서,남,0.0,0.0,92449930000.0
HD한국조선해양,2023,사업보고서,여,0.0,0.0,13878047000.0
HD현대마린엔진,2022,반기보고서,남,0.0,0.0,6079000000.0
HD현대마린엔진,2022,반기보고서,여,0.0,0.0,367000000.0
HD현대마린엔진,2022,사업보고서,남,0.0,0.0,13034000000.0
HD현대마린엔진,2022,사업보고서,여,0.0,0.0,820000000.0
HD현대마린엔진,2023,반기보고서,남,0.0,0.0,9041000000.0
HD현대마린엔진,2023,반기보고서,여,0.0,0.0,681000000.0
HD현대마린엔진,2023,사업보고서,남,0.0,0.0,17611000000.0
HD현대마린엔진,2023,사업보고서,여,0.0,0.0,1375000000.0
HD현대미포,2022,반기보고서,남,0.0,0.0,116946609000.0
HD현대미포,2022,반기보고서,여,0.0,0.0,1812289000.0
HD현대미포,2022,사업보고서,남,0.0,0.0,262961647000.0
HD현대미포,2022,사업보고서,여,0.0,0.0,4251642000.0
HD현대미포,2023,반기보고서,남,0.0,0.0,134233378000.0
HD현대미포,2023,반기보고서,여,0.0,0.0,2701132000.0
HD현대미포,2023,사업보고서,남,0.0,0.0,293181825000.0
HD현대미포,2023,사업보고서,여,0.0,0.0,6453214000.0
HD현대인프라코어,2022,반기보고서,남,0.0,0.0,129111000000.0
HD현대인프라코어,2022,반기보고서,여,0.0,0.0,6931000000.0
HD현대인프라코어,2022,사업보고서,남,0.0,0.0,256337000000.0
HD현대인프라코어,2022,사업보고서,여,0.0,0.0,14815000000.0
HD현대인프라코어,2023,반기보고서,남,0.0,0.0,139283000000.0
HD현대인프라코어,2023,반기보고서,여,0.0,0.0,8594000000.0
HD현대인프라코어,2023,사업보고서,남,0.0,0.0,252711000000.0
HD현대인프라코어,2023,사업보고서,여,0.0,0.0,15092000000.0
HJ중공업,2022,반기보고서,남,0.0,0.0,71772271000.0
HJ중공업,2022,반기보고서,여,0.0,0.0,1636847000.0
HJ중공업,2022,사업보고서,남,0.0,0.0,151341802000.0
HJ중공업,2022,사업보고서,여,0.0,0.0,3482083000.0
HJ중공업,2023,반기보고서,남,0.0,0.0,79870585000.0
HJ중공업,2023,반기보고서,여,0.0,0.0,1903560000.0
HJ중공업,2023,사업보고서,남,0.0,0.0,165708212000.0
HJ중공업,2023,사업보고서,여,0.0,0.0,3969531000.0
HL D&I,2022,반기보고서,남,0.0,0.0,41507110000.0
HL D&I,2022,반기보고서,여,0.0,0.0,3519946000.0
HL D&I,2022,사업보고서,남,0.0,0.0,87026409000.0
HL D&I,2022,사업보고서,여,0.0,0.0,7266321000.0
HL D&I,2023,반기보고서,남,0.0,0.0,41691749000.0
HL D&I,2023,반기보고서,여,0.0,0.0,3401407000.0
HL D&I,2023,사업보고서,남,0.0,0.0,86752901000.0
HL D&I,2023,사업보고서,여,0.0,0.0,7067658000.0
HLB글로벌,2022,반기보고서,남,0.0,0.0,874651000.0
HLB글로벌,2022,반기보고서,여,0.0,0.0,104826000.0
HLB글로벌,2022,사업보고서,남,0.0,0.0,1813966000.0
HLB글로벌,2022,사업보고서,여,0.0,0.0,248640000.0
HLB글로벌,2023,반기보고서,남,0.0,0.0,786895000.0
HLB글로벌,2023,반기보고서,여,0.0,0.0,142568000.0
HLB글로벌,2023,사업보고서,남,0.0,0.0,2214686000.0
HLB글로벌,2023,사업보고서,여,0.0,0.0,956005000.0
HL홀딩스,2022,반기보고서,남,0.0,0.0,10154000000.0
HL홀딩스,2022,반기보고서,여,0.0,0.0,1336000000.0
HL홀딩스,2022,사업보고서,남,0.0,0.0,27610000000.0
HL홀딩스,2022,사업보고서,여,0.0,0.0,3222000000.0
HL홀딩스,2023,반기보고서,남,0.0,0.0,11910000000.0
HL홀딩스,2023,반기보고서,여,0.0,0.0,1432000000.0
HL홀딩스,2023,사업보고서,남,0.0,0.0,25127000000.0
HL홀딩스,2023,사업보고서,여,0.0,0.0,3240000000.0
HMM,2022,반기보고서,남,0.0,0.0,55538127000.0
HMM,2022,반기보고서,여,0.0,0.0,9422704000.0
HMM,2022,사업보고서,남,0.0,0.0,188330187000.0
HMM,2022,사업보고서,여,0.0,0.0,32256696000.0
HMM,2023,반기보고서,남,0.0,0.0,117147632000.0
HMM,2023,반기보고서,여,0.0,0.0,21285824000.0
HMM,2023,사업보고서,남,0.0,0.0,186259340000.0
HMM,2023,사업보고서,여,0.0,0.0,33276739000.0
HS애드,2022,반기보고서,남,0.0,0.0,3194000000.0
HS애드,2022,반기보고서,여,0.0,0.0,1064000000.0
HS애드,2022,사업보고서,남,0.0,0.0,5402000000.0
HS애드,2022,사업보고서,여,0.0,0.0,1803000000.0
HS애드,2023,반기보고서,남,0.0,0.0,3465000000.0
HS애드,2023,반기보고서,여,0.0,0.0,1205000000.0
HS애드,2023,사업보고서,남,0.0,0.0,19186000000.0
HS애드,2023,사업보고서,여,0.0,0.0,12746000000.0
HS화성,2022,반기보고서,남,0.0,0.0,11629000000.0
HS화성,2022,반기보고서,여,0.0,0.0,728000000.0
HS화성,2022,사업보고서,남,0.0,0.0,21537000000.0
HS화성,2022,사업보고서,여,0.0,0.0,1474000000.0
HS화성,2023,반기보고서,남,0.0,0.0,12416000000.0
