기업명,연도,보고서유형,매출액,영업이익
LG디스플레이,2024,사업보고서,"26,615,347,000,000","-560,596,000,000"
텔코웨어,2024,반기보고서,"15,943,018,632","-2,742,619,597"
텔코웨어,2024,사업보고서,"44,852,925,328","3,375,021,568"
STX엔진,2024,반기보고서,"312,867,000,000","28,579,000,000"
STX엔진,2024,사업보고서,"724,609,807,886","42,236,835,042"
NICE,2024,반기보고서,,"85,708,338,767"
NICE,2024,사업보고서,,"174,263,701,108"
대교,2024,반기보고서,"326,333,198,382","-7,093,249,398"
대교,2024,사업보고서,"663,501,743,801","-1,562,689,521"
기업은행,2024,반기보고서,,
기업은행,2024,사업보고서,,
이엔플러스,2024,반기보고서,"29,640,623,470","-12,767,815,575"
이엔플러스,2024,사업보고서,"58,314,142,635","-22,384,501,827"
한솔홈데코,2024,반기보고서,"174,135,699,021","6,444,837,574"
한솔홈데코,2024,사업보고서,"327,259,060,393","11,420,299,469"
이수페타시스,2024,반기보고서,"404,350,478,216","50,490,092,239"
이수페타시스,2024,사업보고서,"836,866,961,285","101,878,836,049"
강원랜드,2024,반기보고서,"706,325,162,792","149,734,322,367"
강원랜드,2024,사업보고서,"1,426,862,781,802","285,790,454,716"
YG PLUS,2024,반기보고서,"89,552,939,534","-1,660,794,805"
YG PLUS,2024,사업보고서,"184,902,894,051","-732,390,107"
농심홀딩스,2024,반기보고서,"423,318,479,508","64,460,416,349"
농심홀딩스,2024,사업보고서,"798,272,530,395","86,638,898,915"
한국금융지주,2024,반기보고서,"12,011,011,117,216",
한국금융지주,2024,사업보고서,"21,174,133,586,717",
유엔젤,2024,반기보고서,"24,480,260,927","-1,079,452,409"
유엔젤,2024,사업보고서,"53,045,913,656","788,654,456"
SBS,2024,반기보고서,"484,583,065,808","-2,458,676,662"
SBS,2024,사업보고서,"1,046,651,436,608","-19,185,289,826"
엔씨소프트,2024,반기보고서,"766,779,442,276","34,566,631,306"
엔씨소프트,2024,사업보고서,"1,578,123,132,867","-109,215,374,026"
하이스틸,2024,반기보고서,"126,238,318,878","-1,056,886,160"
하이스틸,2024,사업보고서,"246,263,519,268","911,764,312"
DSR제강,2024,반기보고서,"103,559,290,263","11,022,137,692"
DSR제강,2024,사업보고서,"215,582,385,097","19,511,056,524"
태경케미컬,2024,반기보고서,"34,463,120,257","7,124,493,843"
태경케미컬,2024,사업보고서,"71,116,461,803","13,705,903,914"
한농화성,2024,반기보고서,"134,066,545,826","5,797,756,364"
한농화성,2024,사업보고서,"247,473,264,569","6,085,620,165"
현대백화점,2024,반기보고서,"1,975,543,838,000","111,702,466,000"
현대백화점,2024,사업보고서,"4,187,614,464,000","284,042,489,000"
대호에이엘,2024,반기보고서,"86,418,379,669","3,188,458,357"
대호에이엘,2024,사업보고서,"168,532,831,254","5,826,923,476"
대웅제약,2024,반기보고서,"696,329,702,589","71,974,076,643"
대웅제약,2024,사업보고서,"1,422,683,296,380","147,942,198,476"
마니커,2024,반기보고서,"165,264,265,482","-5,031,679,493"
마니커,2024,사업보고서,"332,788,209,759","-9,051,499,918"
SNT홀딩스,2024,반기보고서,"825,671,327,693","123,786,189,855"
SNT홀딩스,2024,사업보고서,"1,820,513,622,453","231,159,021,166"
티케이지휴켐스,2024,반기보고서,"581,536,377,104","53,022,571,127"
티케이지휴켐스,2024,사업보고서,"1,188,238,697,698","80,802,440,875"
SJG세종,2024,반기보고서,"925,771,741,410","39,707,694,589"
SJG세종,2024,사업보고서,"1,816,595,152,264","60,611,834,886"
포스코스틸리온,2024,반기보고서,"640,642,626,581","27,939,155,853"
포스코스틸리온,2024,사업보고서,"1,209,864,896,429","51,923,404,660"
삼성출판사,2024,반기보고서,"20,071,781,561","-645,148,552"
삼성출판사,2024,사업보고서,"40,565,887,090","-181,381,974"
세이브존I&C,2024,반기보고서,"60,469,621,425","6,918,857,524"
세이브존I&C,2024,사업보고서,"117,239,836,613","7,777,044,370"
교보증권,2024,반기보고서,"1,573,256,533,942",
교보증권,2024,사업보고서,"3,166,321,957,747",
한샘,2024,반기보고서,"963,895,091,883","20,084,887,437"
한샘,2024,사업보고서,"1,908,390,760,197","31,229,315,756"
우신시스템,2024,반기보고서,"145,045,422,859","9,335,511,472"
우신시스템,2024,사업보고서,"563,596,965,854","36,066,529,187"
LG전자,2024,반기보고서,"42,790,315,000,000","2,531,557,000,000"
LG전자,2024,사업보고서,"87,728,182,000,000","3,419,675,000,000"
콜마홀딩스,2024,반기보고서,"356,555,575,883","23,033,978,038"
콜마홀딩스,2024,사업보고서,"676,663,181,663","38,118,710,023"
SNT모티브,2024,반기보고서,"462,277,041,885","47,100,673,523"
SNT모티브,2024,사업보고서,"968,898,049,440","98,128,121,434"
광주신세계,2024,반기보고서,"87,369,397,252","25,224,938,335"
광주신세계,2024,사업보고서,"183,575,423,411","52,327,661,202"
일진디스플,2024,반기보고서,"48,246,258,111","1,319,059,383"
일진디스플,2024,사업보고서,"89,157,125,829","1,389,859,835"
KH 필룩스,2024,반기보고서,"80,505,550,483","-3,795,743,701"
KH 필룩스,2024,사업보고서,"166,099,592,797","-8,512,230,963"
종근당바이오,2024,반기보고서,"96,450,072,994","8,167,725,845"
종근당바이오,2024,사업보고서,"171,756,008,722","10,953,544,485"
신한지주,2024,반기보고서,,
신한지주,2024,사업보고서,,
코웨이,2024,반기보고서,"2,084,094,411,183","404,939,351,207"
코웨이,2024,사업보고서,"4,310,141,694,596","795,373,861,343"
세아홀딩스,2024,반기보고서,"3,112,994,128,549","119,106,826,966"
세아홀딩스,2024,사업보고서,"6,016,826,083,760","99,186,065,812"
LG생활건강,2024,반기보고서,"3,488,371,578,765","309,570,790,475"
LG생활건강,2024,사업보고서,"6,811,918,756,741","459,045,912,180"
LG화학,2024,반기보고서,"23,909,104,000,000","670,491,000,000"
LG화학,2024,사업보고서,"48,916,104,000,000","916,798,000,000"
대우건설,2024,반기보고서,"5,308,804,723,239","219,556,385,752"
대우건설,2024,사업보고서,"10,503,609,086,034","403,125,613,881"
포스코인터내셔널,2024,반기보고서,"16,042,782,748,000","615,100,023,000"
포스코인터내셔널,2024,사업보고서,"32,340,793,124,000","1,116,921,237,000"
HD현대인프라코어,2024,반기보고서,,"174,338,342,568"
