corp_name,시장구분,종목코드,업종,상장일,결산월,지역,corp_name,corp_code
한미글로벌,유가,53690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-06-23,12월,서울특별시,한미글로벌,"""00413523"""
동아지질,유가,28100,기반조성 및 시설물 축조관련 전문공사업,2009-06-12,12월,부산광역시,동아지질,"""00178754"""
HD현대마린엔진,유가,71970,일반 목적용 기계 제조업,2009-05-15,12월,경상남도,HD현대마린엔진,"""00406046"""
LX하우시스,유가,108670,플라스틱제품 제조업,2009-04-20,12월,서울특별시,LX하우시스,"""00759513"""
한세실업,유가,105630,봉제의복 제조업,2009-03-20,12월,서울특별시,한세실업,"""00728638"""
주성코퍼레이션,유가,109070,통신 및 방송 장비 제조업,2009-03-17,12월,충청남도,주성코퍼레이션,"""00753643"""
미원홀딩스,유가,107590,기타 금융업,2009-03-02,12월,경기도,미원홀딩스,"""00706715"""
NAVER,유가,35420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2008-11-28,12월,경기도,NAVER,"""00266961"""
부국철강,유가,26940,1차 철강 제조업,2008-10-14,12월,광주광역시,부국철강,"""00573773"""
부국철강,유가,26940,1차 철강 제조업,2008-10-14,12월,광주광역시,부국철강,"""00123781"""
KB금융,유가,105560,기타 금융업,2008-10-10,12월,서울특별시,KB금융,"""00688996"""
한국철강,유가,104700,1차 철강 제조업,2008-09-29,12월,경상남도,한국철강,"""00687711"""
일진전기,유가,103590,절연선 및 케이블 제조업,2008-08-01,12월,경기도,일진전기,"""00683469"""
풍산,유가,103140,1차 비철금속 제조업,2008-07-30,12월,경기도,풍산,"""00684714"""
풍산,유가,103140,1차 비철금속 제조업,2008-07-30,12월,경기도,풍산,"""01876659"""
LG이노텍,유가,11070,전자부품 제조업,2008-07-24,12월,서울특별시,LG이노텍,"""00105961"""
명문제약,유가,17180,의약품 제조업,2008-07-10,12월,경기도,명문제약,"""00121039"""
비상교육,유가,100220,"서적, 잡지 및 기타 인쇄물 출판업",2008-06-30,12월,경기도,비상교육,"""00520887"""
동성케미컬,유가,102260,합성고무 및 플라스틱 물질 제조업,2008-06-23,12월,부산광역시,동성케미컬,"""00679314"""
쌍방울,유가,102280,봉제의복 제조업,2008-06-10,12월,서울특별시,쌍방울,"""00681142"""
LG유플러스,유가,32640,전기 통신업,2008-04-21,12월,서울특별시,LG유플러스,"""00231363"""
인바이오젠,유가,101140,기계장비 및 관련 물품 도매업,2008-04-02,12월,서울특별시,인바이오젠,"""00652423"""
아시아나항공,유가,20560,항공 여객 운송업,2008-03-28,12월,서울특별시,아시아나항공,"""00138792"""
SNT에너지,유가,100840,일반 목적용 기계 제조업,2008-02-22,12월,경상남도,SNT에너지,"""00648721"""
진양홀딩스,유가,100250,플라스틱제품 제조업,2008-02-15,12월,부산광역시,진양홀딩스,"""00646732"""
엔케이,유가,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-01-24,12월,부산광역시,엔케이,"""00863348"""
엔케이,유가,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-01-24,12월,부산광역시,엔케이,"""01252327"""
엔케이,유가,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-01-24,12월,부산광역시,엔케이,"""00908997"""
엔케이,유가,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-01-24,12월,부산광역시,엔케이,"""00172228"""
한전KPS,유가,51600,전기 및 통신 공사업,2007-12-14,12월,전라남도,한전KPS,"""00159218"""
KSS해운,유가,44450,해상 운송업,2007-10-26,12월,서울특별시,KSS해운,"""00160232"""
효성 ITX,유가,94280,기타 사업지원 서비스업,2007-10-25,12월,서울특별시,효성 ITX,"""00414850"""
유나이티드,유가,33270,의약품 제조업,2007-10-23,12월,세종특별자치시,유나이티드,"""00158963"""
디아이씨,유가,92200,자동차 신품 부품 제조업,2007-10-18,12월,울산광역시,디아이씨,"""00306205"""
디아이씨,유가,92200,자동차 신품 부품 제조업,2007-10-18,12월,울산광역시,디아이씨,"""00632702"""
디아이씨,유가,92200,자동차 신품 부품 제조업,2007-10-18,12월,울산광역시,디아이씨,"""01305285"""
디아이씨,유가,92200,자동차 신품 부품 제조업,2007-10-18,12월,울산광역시,디아이씨,"""00112165"""
디아이씨,유가,92200,자동차 신품 부품 제조업,2007-10-18,12월,울산광역시,디아이씨,"""01022629"""
CJ제일제당,유가,97950,기타 식품 제조업,2007-09-28,12월,서울특별시,CJ제일제당,"""00635134"""
팬오션,유가,28670,해상 운송업,2007-09-21,12월,서울특별시,팬오션,"""00122737"""
