기업명,연도,보고서유형,매출액,영업이익
대성에너지,2017,반기보고서,"429,033,464,915","16,997,535,079"
대성에너지,2017,사업보고서,"765,978,289,919","19,887,161,471"
현대퓨처넷,2016,반기보고서,"145,297,057,885","29,176,078,337"
현대퓨처넷,2016,사업보고서,"292,115,551,325","49,241,895,188"
현대퓨처넷,2017,반기보고서,"146,360,820,872","26,734,356,795"
현대퓨처넷,2017,사업보고서,"290,236,288,889","49,256,881,329"
KTis,2016,반기보고서,"211,475,992,459","6,996,229,722"
KTis,2016,사업보고서,"436,729,583,787","13,182,223,857"
KTis,2017,반기보고서,"216,414,359,369","4,996,834,482"
KTis,2017,사업보고서,"438,130,711,025","11,079,484,029"
한전산업,2016,반기보고서,"151,952,719,402","17,917,822,819"
한전산업,2016,사업보고서,"310,023,227,122","15,120,050,761"
한전산업,2017,반기보고서,"160,267,919,658","16,551,435,340"
한전산업,2017,사업보고서,"337,995,936,609","18,740,184,888"
엘브이엠씨,2016,반기보고서,"171,217,063","28,120,624"
엘브이엠씨,2016,사업보고서,"338,068,515","48,629,925"
엘브이엠씨,2017,반기보고서,"147,365,956","23,693,418"
엘브이엠씨,2017,사업보고서,"294,692,321","33,211,556"
미스토홀딩스,2016,반기보고서,"377,430,502,526","31,110,871,297"
미스토홀딩스,2016,사업보고서,"967,128,444,713","11,837,651,163"
미스토홀딩스,2017,반기보고서,"1,346,567,983,064","130,442,628,102"
미스토홀딩스,2017,사업보고서,"2,530,323,756,958","217,465,971,954"
KTcs,2016,반기보고서,"413,490,907,632","3,115,181,859"
KTcs,2016,사업보고서,"953,674,070,191","8,797,144,493"
KTcs,2017,반기보고서,"399,845,749,889","4,874,310,346"
KTcs,2017,사업보고서,"967,759,847,887","10,145,929,569"
현대홈쇼핑,2016,반기보고서,"471,847,945,330","64,738,895,505"
현대홈쇼핑,2016,사업보고서,"969,434,288,028","111,288,132,183"
현대홈쇼핑,2017,반기보고서,"517,259,268,123","69,576,437,757"
현대홈쇼핑,2017,사업보고서,"1,043,130,142,648","125,328,430,146"
도화엔지니어링,2016,반기보고서,"135,120,554,254","5,255,708,381"
도화엔지니어링,2016,사업보고서,"324,737,933,281","14,870,769,234"
도화엔지니어링,2017,반기보고서,"213,916,653,117","8,730,069,769"
도화엔지니어링,2017,사업보고서,"398,950,053,293","16,504,788,773"
대성산업,2016,반기보고서,"422,131,701,514","-8,046,477,457"
대성산업,2016,사업보고서,"782,990,234,609","-20,076,856,624"
대성산업,2017,반기보고서,"400,528,423,379","-1,220,890,677"
대성산업,2017,사업보고서,"900,318,240,449","-12,023,169,471"
아이마켓코리아,2016,반기보고서,"1,511,943,384,101","25,196,519,012"
아이마켓코리아,2016,사업보고서,"3,400,004,480,418","60,484,950,035"
아이마켓코리아,2017,반기보고서,"1,583,163,429,266","20,708,117,497"
아이마켓코리아,2017,사업보고서,"3,080,451,880,415","33,976,718,869"
한미약품,2016,반기보고서,"490,917,013,652","28,960,858,216"
한미약품,2016,사업보고서,"882,724,835,492","26,771,865,368"
한미약품,2017,반기보고서,"456,369,150,026","52,913,916,684"
한미약품,2017,사업보고서,"916,586,234,608","82,163,675,888"
우진,2016,반기보고서,"35,635,042,447","-6,297,247,421"
우진,2016,사업보고서,"108,414,002,885","-284,284,636"
우진,2017,반기보고서,"51,197,250,025","-3,558,193,544"
우진,2017,사업보고서,"98,260,858,943","-2,780,673,712"
무학,2016,반기보고서,"135,934,663,191","26,255,833,236"
무학,2016,사업보고서,"270,169,022,410","51,958,900,295"
무학,2017,반기보고서,"136,281,284,126","22,318,685,471"
무학,2017,사업보고서,"250,503,048,569","28,706,395,358"
이연제약,2016,반기보고서,"60,539,271,873","8,273,940,301"
이연제약,2016,사업보고서,"121,847,219,915","15,473,129,644"
이연제약,2017,반기보고서,"64,695,856,011","10,237,655,312"
이연제약,2017,사업보고서,"126,253,125,647","16,001,161,534"
한국화장품,2016,반기보고서,"73,931,497,143","6,467,209,988"
한국화장품,2016,사업보고서,"160,754,823,703","15,707,574,960"
한국화장품,2017,반기보고서,"89,876,371,553","10,796,777,929"
한국화장품,2017,사업보고서,"151,256,003,803","7,589,538,961"
에스제이엠,2016,반기보고서,"88,178,486,574","8,397,038,997"
에스제이엠,2016,사업보고서,"176,789,058,379","14,314,264,795"
에스제이엠,2017,반기보고서,"83,303,702,777","3,897,057,077"
에스제이엠,2017,사업보고서,"163,096,254,624","8,407,293,807"
HL홀딩스,2016,반기보고서,"468,234,546,360","54,405,313,580"
HL홀딩스,2016,사업보고서,"1,001,167,188,848","115,899,124,035"
HL홀딩스,2017,반기보고서,"478,444,001,031","52,676,346,023"
HL홀딩스,2017,사업보고서,"922,195,940,388","62,688,201,701"
신세계푸드,2016,반기보고서,"506,378,828,922","8,706,130,115"
신세계푸드,2016,사업보고서,"1,069,034,286,707","21,376,850,421"
신세계푸드,2017,반기보고서,"587,731,468,622","13,362,802,416"
신세계푸드,2017,사업보고서,"1,207,512,590,908","29,817,174,580"
조선선재,2016,반기보고서,"31,841,931,768","9,215,798,920"
조선선재,2016,사업보고서,"63,087,574,512","17,175,048,230"
조선선재,2017,반기보고서,"33,314,832,781","8,608,093,726"
조선선재,2017,사업보고서,"66,010,846,443","17,662,387,619"
코오롱인더,2016,반기보고서,"2,284,661,407,923","163,727,644,894"
코오롱인더,2016,사업보고서,"4,562,228,487,047","276,731,645,496"
코오롱인더,2017,반기보고서,"2,273,863,431,989","99,920,257,799"
코오롱인더,2017,사업보고서,"4,607,039,925,823","197,977,056,789"
KC코트렐,2016,반기보고서,"80,120,529,343","1,114,802,570"
KC코트렐,2016,사업보고서,"179,277,597,454","5,974,288,491"
KC코트렐,2017,반기보고서,"84,637,099,346","-2,026,297,151"
KC코트렐,2017,사업보고서,"168,470,462,507","3,460,791,785"
지역난방공사,2016,반기보고서,"1,012,144,129,913","169,018,309,138"
지역난방공사,2016,사업보고서,"1,719,867,257,811","161,656,016,220"
지역난방공사,2017,반기보고서,"986,994,365,895","117,261,320,096"
지역난방공사,2017,사업보고서,"1,834,422,361,734","119,796,039,704"
