회사명,시장구분,종목코드,업종,상장일,결산월,지역
하스,코스닥,450330,의료용품 및 기타 의약 관련제품 제조업,2024-07-03,12월,강원특별자치도
이노스페이스,코스닥,462350,"항공기,우주선 및 부품 제조업",2024-07-02,12월,세종특별자치시
신한글로벌액티브리츠,유가,481850,신탁업 및 집합투자업,2024-07-01,02월,서울특별시
에이치브이엠,코스닥,295310,1차 비철금속 제조업,2024-06-28,12월,경기도
팡스카이,코넥스,266350,소프트웨어 개발 및 공급업,2024-06-28,12월,서울특별시
하이젠알앤엠,코스닥,160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2024-06-27,12월,경상남도
한국제15호스팩,코스닥,479880,금융 지원 서비스업,2024-06-26,12월,서울특별시
에스오에스랩,코스닥,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2024-06-25,12월,광주광역시
미래에셋비전스팩6호,코스닥,478440,금융 지원 서비스업,2024-06-24,12월,서울특별시
에이치엠씨제7호스팩,코스닥,477340,금융 지원 서비스업,2024-06-24,12월,서울특별시
파라다이스,유가,34230,유원지 및 기타 오락관련 서비스업,2024-06-24,12월,서울특별시
한중엔시에스,코스닥,107640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2024-06-24,12월,경상북도
KB제29호스팩,코스닥,478390,금융 지원 서비스업,2024-06-21,12월,서울특별시
미래에셋비전스팩5호,코스닥,477470,금융 지원 서비스업,2024-06-19,12월,서울특별시
씨어스테크놀로지,코스닥,458870,의료용 기기 제조업,2024-06-19,12월,경기도
디비금융스팩12호,코스닥,477760,기타 금융업,2024-06-18,12월,서울특별시
라메디텍,코스닥,462510,의료용 기기 제조업,2024-06-17,12월,서울특별시
그리드위즈,코스닥,453450,"그외 기타 전문, 과학 및 기술 서비스업",2024-06-14,12월,경기도
다원넥스뷰,코스닥,323350,사진장비 및 광학기기 제조업,2024-06-11,12월,경기도
미래에셋비전스팩4호,코스닥,477380,금융 지원 서비스업,2024-05-29,12월,서울특별시
노브랜드,코스닥,145170,편조의복 제조업,2024-05-23,12월,서울특별시
아이씨티케이,코스닥,456010,반도체 제조업,2024-05-17,12월,서울특별시
HD현대마린솔루션,유가,443060,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024-05-08,12월,경기도
SK증권제12호스팩,코스닥,473000,금융 지원 서비스업,2024-05-07,12월,서울특별시
코칩,코스닥,126730,전자부품 제조업,2024-05-07,12월,경기도
민테크,코스닥,452200,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2024-05-03,12월,대전광역시
카티스,코스닥,140430,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2024-05-03,12월,경기도
디앤디파마텍,코스닥,347850,자연과학 및 공학 연구개발업,2024-05-02,12월,경기도
유안타제16호스팩,코스닥,474490,금융 지원 서비스업,2024-05-02,12월,서울특별시
제일엠앤에스,코스닥,412540,특수 목적용 기계 제조업,2024-04-30,12월,경기도
삐아,코스닥,451250,기타 화학제품 제조업,2024-04-25,12월,인천광역시
하나33호스팩,코스닥,475250,금융 지원 서비스업,2024-04-24,12월,서울특별시
신한제13호스팩,코스닥,474930,금융 지원 서비스업,2024-04-22,12월,서울특별시
신한제12호스팩,코스닥,474660,금융 지원 서비스업,2024-04-15,12월,서울특별시
아이엠비디엑스,코스닥,461030,자연과학 및 공학 연구개발업,2024-04-03,12월,서울특별시
SK이터닉스,유가,475150,건물 건설업,2024-03-29,12월,경기도
하나32호스팩,코스닥,475240,금융 지원 서비스업,2024-03-27,12월,서울특별시
엔젤로보틱스,코스닥,455900,특수 목적용 기계 제조업,2024-03-26,12월,서울특별시
