회사명,시장구분,종목코드,업종,상장일,결산월,지역
KC코트렐,유가,119650,일반 목적용 기계 제조업,2010-01-29,12월,서울특별시
지역난방공사,유가,71320,"증기, 냉·온수 및 공기조절 공급업",2010-01-29,12월,경기도
스타플렉스,코스닥,115570,플라스틱제품 제조업,2010-01-27,12월,충청북도
우리넷,코스닥,115440,통신 및 방송 장비 제조업,2010-01-27,12월,경기도
아세아텍,코스닥,50860,특수 목적용 기계 제조업,2010-01-26,06월,대구광역시
영흥,유가,12160,1차 철강 제조업,2010-01-25,12월,충청남도
폴라리스우노,코스닥,114630,화학섬유 제조업,2010-01-15,12월,전북특별자치도
코디,코스닥,80530,기타 화학제품 제조업,2010-01-05,12월,경기도
메타케어,유가,118000,기계장비 및 관련 물품 도매업,2009-12-30,12월,경기도
글로벌에스엠,코스닥,900070,기타 금융업,2009-12-23,12월,케이맨 제도
DGI,코스닥,99520,영상 및 음향기기 제조업,2009-12-22,12월,서울특별시
그린생명과학,코스닥,114450,기초 의약물질 제조업,2009-12-22,12월,전라남도
디와이피엔에프,코스닥,104460,일반 목적용 기계 제조업,2009-12-22,12월,서울특별시
위메이드,코스닥,112040,소프트웨어 개발 및 공급업,2009-12-18,12월,경기도
한전기술,유가,52690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-12-14,12월,경상북도
셀바스AI,코스닥,108860,소프트웨어 개발 및 공급업,2009-12-10,12월,서울특별시
이원컴포텍,코스닥,88290,자동차 신품 부품 제조업,2009-12-01,12월,전북특별자치도
강원에너지,코스닥,114190,기타 전기장비 제조업,2009-11-20,12월,전북특별자치도
GKL,유가,114090,유원지 및 기타 오락관련 서비스업,2009-11-19,12월,서울특별시
휴맥스,코스닥,115160,영상 및 음향기기 제조업,2009-11-16,12월,경기도
앱토크롬,코스닥,109960,기타 전문 도매업,2009-11-13,12월,경기도
SK,유가,34730,기타 금융업,2009-11-11,12월,서울특별시
동방선기,코스닥,99410,선박 및 보트 건조업,2009-11-10,12월,경상남도
KS인더스트리,코스닥,101000,특수 목적용 기계 제조업,2009-11-06,12월,경상남도
진매트릭스,코스닥,109820,자연과학 및 공학 연구개발업,2009-11-06,12월,경기도
황금에스티,유가,32560,1차 비철금속 제조업,2009-10-29,12월,경기도
비츠로셀,코스닥,82920,일차전지 및 이차전지 제조업,2009-10-28,12월,충청남도
하이트진로,유가,80,알코올음료 제조업,2009-10-19,12월,서울특별시
한스바이오메드,코스닥,42520,의료용품 및 기타 의약 관련제품 제조업,2009-10-09,09월,서울특별시
동양생명,유가,82640,보험업,2009-10-08,12월,서울특별시
NHN벅스,코스닥,104200,소프트웨어 개발 및 공급업,2009-10-06,12월,서울특별시
아이앤씨,코스닥,52860,반도체 제조업,2009-10-06,12월,경기도
유니온머티리얼,유가,47400,"내화, 비내화 요업제품 제조업",2009-09-29,12월,대구광역시
케이엔더블유,코스닥,105330,자동차 신품 부품 제조업,2009-09-29,12월,경기도
형지엘리트,유가,93240,봉제의복 제조업,2009-09-28,06월,인천광역시
디에스케이,코스닥,109740,특수 목적용 기계 제조업,2009-09-23,12월,경기도
제넥신,코스닥,95700,자연과학 및 공학 연구개발업,2009-09-15,12월,서울특별시
톱텍,코스닥,108230,특수 목적용 기계 제조업,2009-09-15,12월,경상북도
동국S&C,코스닥,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",2009-08-31,12월,경상북도
에스앤더블류,코스닥,103230,일반 목적용 기계 제조업,2009-08-05,12월,부산광역시
키움증권,유가,39490,금융 지원 서비스업,2009-08-03,12월,서울특별시
영원무역,유가,111770,상품 종합 도매업,2009-07-30,12월,서울특별시
컴투스홀딩스,코스닥,63080,소프트웨어 개발 및 공급업,2009-07-30,12월,서울특별시
동일금속,코스닥,109860,금속 주조업,2009-07-28,12월,경상북도
한미글로벌,유가,53690,"건축기술, 엔지니어링 및 관련 기술 서비스업",2009-06-23,12월,서울특별시
동아지질,유가,28100,기반조성 및 시설물 축조관련 전문공사업,2009-06-12,12월,부산광역시
어보브반도체,코스닥,102120,반도체 제조업,2009-06-05,12월,충청북도
위메이드맥스,코스닥,101730,소프트웨어 개발 및 공급업,2009-06-03,12월,경기도
이엔에프테크놀로지,코스닥,102710,기타 화학제품 제조업,2009-05-28,12월,경기도
스맥,코스닥,99440,특수 목적용 기계 제조업,2009-05-26,12월,경상남도
SDN,코스닥,99220,기계장비 및 관련 물품 도매업,2009-05-19,12월,경기도
한국정밀기계,코스닥,101680,특수 목적용 기계 제조업,2009-05-19,12월,경상남도
HD현대마린엔진,유가,71970,일반 목적용 기계 제조업,2009-05-15,12월,경상남도
흥국,코스닥,10240,특수 목적용 기계 제조업,2009-05-12,12월,충청남도
우림피티에스,코스닥,101170,일반 목적용 기계 제조업,2009-04-28,12월,경상남도
티플랙스,코스닥,81150,1차 비철금속 제조업,2009-04-23,12월,경기도
LX하우시스,유가,108670,플라스틱제품 제조업,2009-04-20,12월,서울특별시
에스티오,코스닥,98660,봉제의복 제조업,2009-04-17,12월,서울특별시
에이테크솔루션,코스닥,71670,특수 목적용 기계 제조업,2009-04-17,12월,경기도
에스앤에스텍,코스닥,101490,전자부품 제조업,2009-04-14,12월,대구광역시
뷰웍스,코스닥,100120,의료용 기기 제조업,2009-04-10,12월,경기도
코오롱생명과학,코스닥,102940,기초 의약물질 제조업,2009-04-07,12월,서울특별시
엔시트론,코스닥,101400,반도체 제조업,2009-03-31,12월,서울특별시
한세실업,유가,105630,봉제의복 제조업,2009-03-20,12월,서울특별시
주성코퍼레이션,유가,109070,통신 및 방송 장비 제조업,2009-03-17,12월,충청남도
파인테크닉스,코스닥,106240,전구 및 조명장치 제조업,2009-03-16,12월,경기도
미원홀딩스,유가,107590,기타 금융업,2009-03-02,12월,경기도
이수앱지스,코스닥,86890,의료용품 및 기타 의약 관련제품 제조업,2009-02-03,12월,경기도
대성파인텍,코스닥,104040,자동차 신품 부품 제조업,2009-01-23,12월,경상남도
유비쿼스홀딩스,코스닥,78070,기타 금융업,2009-01-23,12월,경기도
메디톡스,코스닥,86900,기초 의약물질 제조업,2009-01-16,12월,충청북도
엠게임,코스닥,58630,소프트웨어 개발 및 공급업,2008-12-19,12월,서울특별시
아이컴포넌트,코스닥,59100,전자부품 제조업,2008-12-16,12월,경기도
NAVER,유가,35420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2008-11-28,12월,경기도
HLB생명과학,코스닥,67630,의료용품 및 기타 의약 관련제품 제조업,2008-11-25,12월,경기도
이크레더블,코스닥,92130,기타 정보 서비스업,2008-10-24,12월,서울특별시
부국철강,유가,26940,1차 철강 제조업,2008-10-14,12월,광주광역시
KB금융,유가,105560,기타 금융업,2008-10-10,12월,서울특별시
세운메디칼,코스닥,100700,의료용품 및 기타 의약 관련제품 제조업,2008-09-30,12월,충청남도
한국철강,유가,104700,1차 철강 제조업,2008-09-29,12월,경상남도
마이크로컨텍솔,코스닥,98120,전자부품 제조업,2008-09-23,12월,충청남도
이엠앤아이,코스닥,83470,기초 화학물질 제조업,2008-09-18,12월,경기도
일진전기,유가,103590,절연선 및 케이블 제조업,2008-08-01,12월,경기도
풍산,유가,103140,1차 비철금속 제조업,2008-07-30,12월,경기도
LG이노텍,유가,11070,전자부품 제조업,2008-07-24,12월,서울특별시
아이엠,코스닥,101390,전자부품 제조업,2008-07-23,12월,경기도
웰크론한텍,코스닥,76080,건물 건설업,2008-07-18,12월,경기도
하이드로리튬,코스닥,101670,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-07-15,12월,경기도
슈프리마에이치큐,코스닥,94840,통신 및 방송 장비 제조업,2008-07-11,12월,경기도
명문제약,유가,17180,의약품 제조업,2008-07-10,12월,경기도
서울옥션,코스닥,63170,상품 중개업,2008-07-01,12월,서울특별시
이스트소프트,코스닥,47560,소프트웨어 개발 및 공급업,2008-07-01,12월,서울특별시
비상교육,유가,100220,"서적, 잡지 및 기타 인쇄물 출판업",2008-06-30,12월,경기도
크레버스,코스닥,96240,일반 교습 학원,2008-06-27,12월,서울특별시
동성케미컬,유가,102260,합성고무 및 플라스틱 물질 제조업,2008-06-23,12월,부산광역시
월덱스,코스닥,101160,전자부품 제조업,2008-06-19,12월,경상북도
쎄트렉아이,코스닥,99320,"항공기,우주선 및 부품 제조업",2008-06-13,12월,대전광역시
쌍방울,유가,102280,봉제의복 제조업,2008-06-10,12월,서울특별시
브리지텍,코스닥,64480,소프트웨어 개발 및 공급업,2008-06-04,12월,서울특별시
고영,코스닥,98460,특수 목적용 기계 제조업,2008-06-03,12월,경기도
조이시티,코스닥,67000,소프트웨어 개발 및 공급업,2008-05-30,12월,경기도
우진비앤지,코스닥,18620,의약품 제조업,2008-05-20,12월,경기도
테스,코스닥,95610,특수 목적용 기계 제조업,2008-05-20,12월,경기도
예스24,코스닥,53280,무점포 소매업,2008-05-07,12월,서울특별시
엘디티,코스닥,96870,반도체 제조업,2008-05-02,12월,충청남도
LG유플러스,유가,32640,전기 통신업,2008-04-21,12월,서울특별시
메타바이오메드,코스닥,59210,의료용품 및 기타 의약 관련제품 제조업,2008-04-15,12월,충청북도
효성오앤비,코스닥,97870,"비료, 농약 및 살균, 살충제 제조업",2008-04-08,06월,충청남도
인바이오젠,유가,101140,기계장비 및 관련 물품 도매업,2008-04-02,12월,서울특별시
아시아나항공,유가,20560,항공 여객 운송업,2008-03-28,12월,서울특별시
SNT에너지,유가,100840,일반 목적용 기계 제조업,2008-02-22,12월,경상남도
진양홀딩스,유가,100250,플라스틱제품 제조업,2008-02-15,12월,부산광역시
한울소재과학,코스닥,91440,통신 및 방송 장비 제조업,2008-02-01,12월,경기도
엔케이,유가,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-01-24,12월,부산광역시
에코볼트,코스닥,97780,자동차 신품 부품 제조업,2008-01-23,12월,충청남도
에스코넥,코스닥,96630,통신 및 방송 장비 제조업,2007-12-26,12월,경기도
일신바이오,코스닥,68330,일반 목적용 기계 제조업,2007-12-26,12월,경기도
서원인텍,코스닥,93920,통신 및 방송 장비 제조업,2007-12-20,12월,경기도
이씨에스,코스닥,67010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2007-12-18,03월,서울특별시
대창솔루션,코스닥,96350,"구조용 금속제품, 탱크 및 증기발생기 제조업",2007-12-17,12월,부산광역시
한전KPS,유가,51600,전기 및 통신 공사업,2007-12-14,12월,전라남도
엑시온그룹,코스닥,69920,무점포 소매업,2007-12-05,12월,서울특별시
알에프세미,코스닥,96610,반도체 제조업,2007-11-20,12월,전북특별자치도
디엔에프,코스닥,92070,기타 화학제품 제조업,2007-11-16,12월,대전광역시
일진파워,코스닥,94820,전기 및 통신 공사업,2007-11-06,12월,울산광역시
비엠티,코스닥,86670,일반 목적용 기계 제조업,2007-11-02,12월,부산광역시
기신정기,유가,92440,특수 목적용 기계 제조업,2007-10-30,03월,인천광역시
이엠코리아,코스닥,95190,기타 금속 가공제품 제조업,2007-10-29,12월,경상남도
KSS해운,유가,44450,해상 운송업,2007-10-26,12월,서울특별시
효성 ITX,유가,94280,기타 사업지원 서비스업,2007-10-25,12월,서울특별시
현우산업,코스닥,92300,전자부품 제조업,2007-10-24,12월,인천광역시
유나이티드,유가,33270,의약품 제조업,2007-10-23,12월,세종특별자치시
케이알엠,코스닥,93640,반도체 제조업,2007-10-19,12월,서울특별시
디아이씨,유가,92200,자동차 신품 부품 제조업,2007-10-18,12월,울산광역시
에스에너지,코스닥,95910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2007-10-16,12월,경기도
성우전자,코스닥,81580,통신 및 방송 장비 제조업,2007-10-12,12월,경기도
엘엠에스,코스닥,73110,전자부품 제조업,2007-10-12,12월,경기도
제이엠티,코스닥,94970,전자부품 제조업,2007-10-12,12월,경기도
오디텍,코스닥,80520,반도체 제조업,2007-10-08,12월,전북특별자치도
ISC,코스닥,95340,기계장비 및 관련 물품 도매업,2007-10-01,12월,경기도
네오티스,코스닥,85910,자동차 신품 부품 제조업,2007-10-01,12월,경기도
미래나노텍,코스닥,95500,플라스틱제품 제조업,2007-10-01,12월,충청북도
상보,코스닥,27580,플라스틱제품 제조업,2007-10-01,12월,경기도
CJ제일제당,유가,97950,기타 식품 제조업,2007-09-28,12월,서울특별시
바이오톡스텍,코스닥,86040,자연과학 및 공학 연구개발업,2007-09-21,12월,충청북도
팬오션,유가,28670,해상 운송업,2007-09-21,12월,서울특별시
옴니시스템,코스닥,57540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2007-09-19,12월,경기도
푸른기술,코스닥,94940,컴퓨터 및 주변장치 제조업,2007-09-14,12월,서울특별시
웨이브일렉트로,코스닥,95270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2007-09-12,12월,경기도
HJ중공업,유가,97230,토목 건설업,2007-08-31,12월,부산광역시
빅솔론,코스닥,93190,컴퓨터 및 주변장치 제조업,2007-08-20,12월,경기도
JW홀딩스,유가,96760,기타 금융업,2007-07-31,12월,경기도
S&K폴리텍,코스닥,91340,전자부품 제조업,2007-07-30,12월,경기도
SK이노베이션,유가,96770,석유 정제품 제조업,2007-07-25,12월,서울특별시
율호,코스닥,72770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2007-07-25,12월,서울특별시
갤럭시아머니트리,코스닥,94480,소프트웨어 개발 및 공급업,2007-07-20,12월,서울특별시
에코프로,코스닥,86520,기타 금융업,2007-07-20,12월,충청북도
대산F&B,코스닥,65150,음·식료품 및 담배 도매업,2007-07-18,12월,대전광역시
컴투스,코스닥,78340,소프트웨어 개발 및 공급업,2007-07-06,12월,서울특별시
네오위즈,코스닥,95660,소프트웨어 개발 및 공급업,2007-07-02,12월,경기도
삼성카드,유가,29780,기타 금융업,2007-06-27,12월,서울특별시
앤씨앤,코스닥,92600,반도체 제조업,2007-06-26,12월,경기도
엔텔스,코스닥,69410,소프트웨어 개발 및 공급업,2007-06-20,12월,서울특별시
알루코,유가,1780,1차 비철금속 제조업,2007-06-07,12월,대전광역시
풍강,코스닥,93380,기타 금속 가공제품 제조업,2007-06-01,08월,경기도
웅진씽크빅,유가,95720,초등 교육기관,2007-05-31,12월,경기도
동국제약,코스닥,86450,의약품 제조업,2007-05-29,12월,서울특별시
케이프,코스닥,64820,선박 및 보트 건조업,2007-05-29,12월,경상남도
상신이디피,코스닥,91580,일차전지 및 이차전지 제조업,2007-05-23,12월,충청남도
한라IMS,코스닥,92460,선박 및 보트 건조업,2007-05-22,12월,부산광역시
에프알텍,코스닥,73540,통신 및 방송 장비 제조업,2007-05-18,12월,경기도
이엠텍,코스닥,91120,전자부품 제조업,2007-05-02,12월,경상남도
참좋은여행,코스닥,94850,여행사 및 기타 여행보조 서비스업,2007-04-30,12월,서울특별시
네오리진,코스닥,94860,소프트웨어 개발 및 공급업,2007-04-16,12월,서울특별시
맵스리얼티,유가,94800,신탁업 및 집합투자업,2007-04-09,12월,서울특별시
LS증권,코스닥,78020,금융 지원 서비스업,2007-02-21,12월,서울특별시
매커스,코스닥,93520,기계장비 및 관련 물품 도매업,2007-02-12,12월,서울특별시
나노캠텍,코스닥,91970,플라스틱제품 제조업,2007-01-30,12월,경기도
네오팜,코스닥,92730,기타 화학제품 제조업,2007-01-30,12월,대전광역시
오스코텍,코스닥,39200,의약품 제조업,2007-01-17,12월,경기도
켐트로닉스,코스닥,89010,기타 화학제품 제조업,2007-01-17,12월,세종특별자치시
제이스텍,코스닥,90470,특수 목적용 기계 제조업,2007-01-10,12월,충청남도
동아엘텍,코스닥,88130,특수 목적용 기계 제조업,2007-01-03,12월,경기도
메타랩스,유가,90370,봉제의복 제조업,2006-12-26,12월,서울특별시
후성,유가,93370,기초 화학물질 제조업,2006-12-22,12월,경기도
휴온스글로벌,코스닥,84110,의약품 제조업,2006-12-19,12월,경기도
케이씨티,코스닥,89150,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2006-12-13,12월,경기도
파트론,코스닥,91700,전자부품 제조업,2006-12-13,12월,경기도
유니테스트,코스닥,86390,특수 목적용 기계 제조업,2006-12-05,12월,경기도
휴림로봇,코스닥,90710,특수 목적용 기계 제조업,2006-12-05,12월,충청남도
LF,유가,93050,봉제의복 제조업,2006-12-01,12월,서울특별시
에스에이티,코스닥,60540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2006-11-28,12월,경기도
큐에스아이,코스닥,66310,반도체 제조업,2006-11-24,12월,충청남도
멀티캠퍼스,코스닥,67280,기타 교육기관,2006-11-16,12월,서울특별시
주연테크,유가,44380,컴퓨터 및 주변장치 제조업,2006-11-15,12월,서울특별시
코스맥스비티아이,유가,44820,기타 금융업,2006-11-13,12월,경기도
코세스,코스닥,89890,특수 목적용 기계 제조업,2006-11-08,12월,경기도
인천도시가스,유가,34590,연료용 가스 제조 및 배관공급업,2006-11-07,12월,인천광역시
성창오토텍,코스닥,80470,자동차 신품 부품 제조업,2006-11-03,12월,경기도
넥스턴바이오,코스닥,89140,특수 목적용 기계 제조업,2006-11-01,12월,경기도
제이티,코스닥,89790,특수 목적용 기계 제조업,2006-10-27,12월,충청남도
아이윈,코스닥,90150,자동차 신품 부품 제조업,2006-10-20,12월,부산광역시
이녹스,코스닥,88390,그외 기타 운송장비 제조업,2006-10-20,12월,충청남도
삼정펄프,유가,9770,"펄프, 종이 및 판지 제조업",2006-10-17,12월,경기도
KEC,유가,92220,반도체 제조업,2006-10-16,12월,서울특별시
KPX홀딩스,유가,92230,기초 화학물질 제조업,2006-10-12,12월,서울특별시
THE E&M,코스닥,89230,기타 정보 서비스업,2006-10-10,12월,서울특별시
바텍,코스닥,43150,의료용 기기 제조업,2006-09-29,12월,경기도
MDS테크,코스닥,86960,소프트웨어 개발 및 공급업,2006-09-26,12월,경기도
HDC현대EP,유가,89470,기타 화학제품 제조업,2006-09-25,12월,충청남도
루멘스,코스닥,38060,반도체 제조업,2006-08-08,12월,경기도
CSA 코스믹,코스닥,83660,기타 화학제품 제조업,2006-07-25,12월,서울특별시
NICE인프라,코스닥,63570,기타 사업지원 서비스업,2006-07-14,12월,서울특별시
쇼박스,코스닥,86980,"영화, 비디오물, 방송프로그램 제작 및 배급업",2006-07-07,12월,서울특별시
팬엔터테인먼트,코스닥,68050,"영화, 비디오물, 방송프로그램 제작 및 배급업",2006-07-07,12월,서울특별시
인포뱅크,코스닥,39290,기타 정보 서비스업,2006-07-04,12월,경기도
노루페인트,유가,90350,기타 화학제품 제조업,2006-07-03,12월,경기도
아모레퍼시픽,유가,90430,기타 화학제품 제조업,2006-06-29,12월,서울특별시
엔에스이엔엠,코스닥,78860,"영화, 비디오물, 방송프로그램 제작 및 배급업",2006-06-27,12월,서울특별시
동우팜투테이블,코스닥,88910,"도축, 육류 가공 및 저장 처리업",2006-06-23,12월,전북특별자치도
롯데관광개발,유가,32350,여행사 및 기타 여행보조 서비스업,2006-06-08,12월,제주특별자치도
제이브이엠,코스닥,54950,일반 목적용 기계 제조업,2006-06-07,12월,대구광역시
평화산업,유가,90080,자동차 신품 부품 제조업,2006-06-02,12월,대구광역시
우진플라임,유가,49800,특수 목적용 기계 제조업,2006-05-24,12월,충청북도
팅크웨어,코스닥,84730,통신 및 방송 장비 제조업,2006-05-19,12월,경기도
신세계I&C,유가,35510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2006-05-18,12월,서울특별시
진바이오텍,코스닥,86060,산업용 농·축산물 및 동·식물 도매업,2006-04-28,12월,충청남도
티케이지애강,코스닥,22220,플라스틱제품 제조업,2006-04-11,12월,충청북도
진도,유가,88790,기타 전문 도매업,2006-03-28,12월,서울특별시
에이스테크,코스닥,88800,통신 및 방송 장비 제조업,2006-03-27,12월,인천광역시
맥쿼리인프라,유가,88980,신탁업 및 집합투자업,2006-03-15,12월,서울특별시
롯데쇼핑,유가,23530,종합 소매업,2006-02-09,12월,서울특별시
셀트리온제약,코스닥,68760,의약품 제조업,2006-02-03,12월,충청북도
GST,코스닥,83450,특수 목적용 기계 제조업,2006-02-01,12월,경기도
에너토크,코스닥,19990,일반 목적용 기계 제조업,2006-02-01,12월,경기도
제우스,코스닥,79370,특수 목적용 기계 제조업,2006-02-01,12월,경기도
뉴프렉스,코스닥,85670,전자부품 제조업,2006-01-17,12월,경기도
유진테크,코스닥,84370,특수 목적용 기계 제조업,2006-01-17,12월,경기도
CG인바이츠,코스닥,83790,자연과학 및 공학 연구개발업,2006-01-06,12월,서울특별시
바이오니아,코스닥,64550,의료용품 및 기타 의약 관련제품 제조업,2005-12-29,12월,대전광역시
헬릭스미스,코스닥,84990,자연과학 및 공학 연구개발업,2005-12-29,12월,서울특별시
인콘,코스닥,83640,상품 종합 도매업,2005-12-27,12월,경기도
차바이오텍,코스닥,85660,기초 의약물질 제조업,2005-12-27,12월,서울특별시
현대글로비스,유가,86280,기타 운송관련 서비스업,2005-12-26,12월,서울특별시
대봉엘에스,코스닥,78140,의약품 제조업,2005-12-23,12월,인천광역시
와이엔텍,코스닥,67900,폐기물 처리업,2005-12-23,12월,전라남도
케이엠,코스닥,83550,기타 섬유제품 제조업,2005-12-20,12월,경기도
티비에이치글로벌,유가,84870,봉제의복 제조업,2005-12-19,12월,서울특별시
수성웹툰,코스닥,84180,일반 목적용 기계 제조업,2005-12-16,12월,인천광역시
하나금융지주,유가,86790,기타 금융업,2005-12-12,12월,서울특별시
제일연마,유가,1560,기타 비금속 광물제품 제조업,2005-12-09,12월,경상북도
모다이노칩,코스닥,80420,"섬유, 의복, 신발 및 가죽제품 소매업",2005-12-06,12월,경기도
비에이치아이,코스닥,83650,일반 목적용 기계 제조업,2005-12-02,12월,경상남도
케스피온,코스닥,79190,통신 및 방송 장비 제조업,2005-11-29,12월,인천광역시
현대리바트,유가,79430,가구 제조업,2005-11-22,12월,경기도
비보존 제약,코스닥,82800,의약품 제조업,2005-11-18,12월,경기도
자연과환경,코스닥,43910,"시멘트, 석회, 플라스터 및 그 제품 제조업",2005-11-18,12월,충청남도
와토스코리아,코스닥,79000,플라스틱제품 제조업,2005-11-15,12월,전라남도
대한제강,유가,84010,1차 철강 제조업,2005-10-31,12월,부산광역시
폴라리스오피스,코스닥,41020,소프트웨어 개발 및 공급업,2005-10-28,12월,서울특별시
휴림에이텍,코스닥,78590,자동차 신품 부품 제조업,2005-10-27,12월,경상남도
서린바이오,코스닥,38070,기타 전문 도매업,2005-10-25,12월,경기도
새론오토모티브,유가,75180,자동차 신품 부품 제조업,2005-10-21,12월,충청남도
그린케미칼,유가,83420,기타 화학제품 제조업,2005-10-20,12월,충청남도
가비아,코스닥,79940,소프트웨어 개발 및 공급업,2005-10-19,12월,경기도
덕산하이메탈,코스닥,77360,반도체 제조업,2005-10-14,12월,울산광역시
아바코,코스닥,83930,특수 목적용 기계 제조업,2005-10-11,12월,대구광역시
하나마이크론,코스닥,67310,반도체 제조업,2005-10-11,12월,충청남도
엘오티베큠,코스닥,83310,특수 목적용 기계 제조업,2005-10-05,12월,경기도
코스나인,코스닥,82660,기타 화학제품 제조업,2005-10-05,12월,경기도
이상네트웍스,코스닥,80010,상품 중개업,2005-09-30,12월,서울특별시
대상홀딩스,유가,84690,기타 금융업,2005-08-17,12월,서울특별시
코아스,유가,71950,가구 제조업,2005-08-04,12월,서울특별시
메디포스트,코스닥,78160,기초 의약물질 제조업,2005-07-29,12월,경기도
우리바이오,코스닥,82850,기타 식품 제조업,2005-07-29,12월,경기도
모두투어,코스닥,80160,여행사 및 기타 여행보조 서비스업,2005-07-26,12월,서울특별시
이월드,유가,84680,귀금속 및 장신용품 제조업,2005-07-26,12월,대구광역시
동양고속,유가,84670,육상 여객 운송업,2005-07-25,12월,경기도
한미반도체,유가,42700,특수 목적용 기계 제조업,2005-07-22,12월,인천광역시
가온그룹,코스닥,78890,통신 및 방송 장비 제조업,2005-07-12,12월,경기도
쏠리드,코스닥,50890,통신 및 방송 장비 제조업,2005-07-08,12월,경기도
동일산업,유가,4890,1차 철강 제조업,2005-06-30,12월,경상북도
옵트론텍,코스닥,82210,사진장비 및 광학기기 제조업,2005-06-24,12월,대전광역시
젬백스,코스닥,82270,특수 목적용 기계 제조업,2005-06-24,12월,대전광역시
플랜티넷,코스닥,75130,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2005-06-10,12월,경기도
삼호개발,유가,10960,기반조성 및 시설물 축조관련 전문공사업,2005-05-12,12월,충청남도
금호타이어,유가,73240,고무제품 제조업,2005-02-17,12월,광주광역시
이노와이어리스,코스닥,73490,통신 및 방송 장비 제조업,2005-02-04,12월,경기도
인베니아,코스닥,79950,특수 목적용 기계 제조업,2005-02-04,12월,경기도
동양이엔피,코스닥,79960,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2005-02-01,12월,경기도
제주반도체,코스닥,80220,반도체 제조업,2005-02-01,12월,제주특별자치도
한창산업,코스닥,79170,1차 비철금속 제조업,2005-02-01,12월,경기도
디이엔티,코스닥,79810,기타 전기장비 제조업,2005-01-26,12월,경기도
iMBC,코스닥,52220,영상·오디오물 제공 서비스업,2005-01-21,12월,서울특별시
서산,코스닥,79650,"시멘트, 석회, 플라스터 및 그 제품 제조업",2005-01-21,12월,광주광역시
KX하이텍,코스닥,52900,플라스틱제품 제조업,2005-01-18,12월,충청남도
손오공,코스닥,66910,기타 전문 도매업,2005-01-07,12월,경기도
미래컴퍼니,코스닥,49950,특수 목적용 기계 제조업,2005-01-04,12월,경기도
아이크래프트,코스닥,52460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2005-01-03,12월,서울특별시
CJ CGV,유가,79160,"영화, 비디오물, 방송프로그램 제작 및 배급업",2004-12-24,12월,서울특별시
일진다이아,유가,81000,기타 화학제품 제조업,2004-12-22,12월,충청북도
메가스터디,코스닥,72870,"서적, 잡지 및 기타 인쇄물 출판업",2004-12-21,12월,서울특별시
케이에스피,코스닥,73010,일반 목적용 기계 제조업,2004-12-17,12월,부산광역시
KG모빌리언스,코스닥,46440,소프트웨어 개발 및 공급업,2004-12-14,12월,서울특별시
대주전자재료,코스닥,78600,전자부품 제조업,2004-12-10,12월,경기도
텔레칩스,코스닥,54450,반도체 제조업,2004-12-10,12월,경기도
HB테크놀러지,코스닥,78150,특수 목적용 기계 제조업,2004-12-08,12월,충청남도
도이치모터스,코스닥,67990,자동차 판매업,2004-12-03,12월,서울특별시
유니드,유가,14830,기초 화학물질 제조업,2004-12-03,12월,서울특별시
토비스,코스닥,51360,영상 및 음향기기 제조업,2004-11-19,12월,인천광역시
상신브레이크,유가,41650,자동차 신품 부품 제조업,2004-10-27,12월,대구광역시
국일제지,코스닥,78130,기타 종이 및 판지 제품 제조업,2004-10-22,12월,경기도
DMS,코스닥,68790,특수 목적용 기계 제조업,2004-10-01,12월,경기도
인팩,유가,23810,자동차 신품 부품 제조업,2004-09-21,12월,서울특별시
시너지이노베이션,코스닥,48870,의료용 기기 제조업,2004-08-13,12월,경기도
신성델타테크,코스닥,65350,가정용 기기 제조업,2004-08-06,12월,경상남도
GS,유가,78930,기타 금융업,2004-08-05,12월,서울특별시
유니퀘스트,유가,77500,기계장비 및 관련 물품 도매업,2004-08-05,12월,경기도
다스코,유가,58730,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02,12월,전라남도
한국경제TV,코스닥,39340,텔레비전 방송업,2004-07-30,12월,서울특별시
LG디스플레이,유가,34220,전자부품 제조업,2004-07-23,12월,서울특별시
다날,코스닥,64260,소프트웨어 개발 및 공급업,2004-07-23,12월,경기도
텔코웨어,유가,78000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2004-07-20,12월,서울특별시
형지I&C,코스닥,11080,봉제의복 제조업,2004-07-02,12월,인천광역시
