기업명,연도,보고서유형,성별,정규직,계약직,총급여
CJ CGV,2016,사업보고서,여,742.0,2.0,27638000000.0
CJ CGV,2017,반기보고서,남,789.0,3.0,19438000000.0
CJ CGV,2017,반기보고서,여,793.0,4.0,15288000000.0
CJ CGV,2017,사업보고서,남,755.0,0.0,36416000000.0
CJ CGV,2017,사업보고서,여,768.0,6.0,29318000000.0
CJ CGV,2018,반기보고서,남,3040.0,1.0,18963000000.0
CJ CGV,2018,반기보고서,여,3722.0,1.0,15505000000.0
CJ CGV,2018,사업보고서,남,3289.0,1.0,40656000000.0
CJ CGV,2018,사업보고서,여,4012.0,0.0,31607000000.0
CJ CGV,2019,반기보고서,남,2664.0,203.0,19245000000.0
CJ CGV,2019,반기보고서,여,3334.0,272.0,16113000000.0
CJ CGV,2019,사업보고서,남,2299.0,919.0,36390000000.0
CJ CGV,2019,사업보고서,여,2759.0,1091.0,31082000000.0
CJ CGV,2020,반기보고서,남,1575.0,40.0,16587000000.0
CJ CGV,2020,반기보고서,여,1975.0,74.0,15193000000.0
CJ CGV,2020,사업보고서,남,1166.0,81.0,30864000000.0
CJ CGV,2020,사업보고서,여,1444.0,115.0,27333000000.0
CJ CGV,2021,반기보고서,남,1097.0,151.0,13805000000.0
CJ CGV,2021,반기보고서,여,1255.0,252.0,12596000000.0
CJ CGV,2021,사업보고서,남,1430.0,247.0,29883000000.0
CJ CGV,2021,사업보고서,여,1563.0,318.0,26068000000.0
CJ CGV,2022,반기보고서,남,1601.0,340.0,14596000000.0
CJ CGV,2022,반기보고서,여,1864.0,364.0,13587000000.0
CJ CGV,2022,사업보고서,남,1728.0,395.0,28707000000.0
CJ CGV,2022,사업보고서,여,1908.0,470.0,27121000000.0
CJ CGV,2023,반기보고서,남,1664.0,301.0,14344000000.0
CJ CGV,2023,반기보고서,여,1937.0,398.0,14209000000.0
CJ CGV,2023,사업보고서,남,1698.0,403.0,28370000000.0
CJ CGV,2023,사업보고서,여,2036.0,547.0,28337000000.0
CJ CGV,2024,반기보고서,남,1519.0,269.0,15160000000.0
CJ CGV,2024,반기보고서,여,1909.0,349.0,14939000000.0
CJ CGV,2024,사업보고서,남,1496.0,478.0,28988000000.0
CJ CGV,2024,사업보고서,여,1810.0,529.0,29641000000.0
CJ대한통운,2016,반기보고서,남,4432.0,220.0,120292470000.0
CJ대한통운,2016,반기보고서,여,583.0,115.0,12077564000.0
CJ대한통운,2016,사업보고서,남,4455.0,248.0,259471476000.0
CJ대한통운,2016,사업보고서,여,595.0,114.0,25967804000.0
CJ대한통운,2017,반기보고서,남,4551.0,115.0,131022789000.0
CJ대한통운,2017,반기보고서,여,667.0,87.0,13969438000.0
CJ대한통운,2017,사업보고서,남,4561.0,160.0,285378903000.0
CJ대한통운,2017,사업보고서,여,626.0,196.0,31390204000.0
CJ대한통운,2018,반기보고서,남,5249.0,204.0,159884727000.0
CJ대한통운,2018,반기보고서,여,786.0,198.0,18443352000.0
CJ대한통운,2018,사업보고서,남,5174.0,168.0,321698883000.0
CJ대한통운,2018,사업보고서,여,808.0,200.0,37180803000.0
CJ대한통운,2019,반기보고서,남,5310.0,130.0,162633173000.0
CJ대한통운,2019,반기보고서,여,910.0,30.0,19579890000.0
CJ대한통운,2019,사업보고서,남,5264.0,158.0,313219000000.0
CJ대한통운,2019,사업보고서,여,860.0,76.0,40102000000.0
CJ대한통운,2020,반기보고서,남,5188.0,161.0,155712000000.0
CJ대한통운,2020,반기보고서,여,884.0,24.0,20405000000.0
CJ대한통운,2020,사업보고서,남,5220.0,155.0,364061000000.0
CJ대한통운,2020,사업보고서,여,843.0,68.0,44405000000.0
CJ대한통운,2021,반기보고서,남,5192.0,127.0,147659000000.0
CJ대한통운,2021,반기보고서,여,839.0,22.0,19496000000.0
CJ대한통운,2021,사업보고서,남,5336.0,127.0,404583000000.0
CJ대한통운,2021,사업보고서,여,863.0,25.0,50926000000.0
CJ대한통운,2022,반기보고서,남,5520.0,106.0,177274000000.0
CJ대한통운,2022,반기보고서,여,914.0,33.0,23267000000.0
CJ대한통운,2022,사업보고서,남,5769.0,114.0,420294000000.0
CJ대한통운,2022,사업보고서,여,970.0,30.0,56398000000.0
CJ대한통운,2023,반기보고서,남,5779.0,154.0,199108000000.0
CJ대한통운,2023,반기보고서,여,999.0,34.0,27959000000.0
CJ대한통운,2023,사업보고서,남,5809.0,160.0,470887000000.0
CJ대한통운,2023,사업보고서,여,1032.0,40.0,60061000000.0
CJ대한통운,2024,반기보고서,남,5761.0,159.0,212847000000.0
CJ대한통운,2024,반기보고서,여,1047.0,34.0,30929000000.0
CJ대한통운,2024,사업보고서,남,5744.0,151.0,482164000000.0
CJ대한통운,2024,사업보고서,여,1073.0,34.0,69644000000.0
CJ씨푸드,2016,반기보고서,남,189.0,7.0,4630000000.0
CJ씨푸드,2016,반기보고서,여,168.0,41.0,3426000000.0
CJ씨푸드,2016,사업보고서,남,185.0,8.0,9714000000.0
CJ씨푸드,2016,사업보고서,여,187.0,22.0,6735000000.0
CJ씨푸드,2017,반기보고서,남,186.0,1.0,4204000000.0
CJ씨푸드,2017,반기보고서,여,187.0,11.0,3104000000.0
CJ씨푸드,2017,사업보고서,남,192.0,1.0,8124000000.0
CJ씨푸드,2017,사업보고서,여,185.0,6.0,5890000000.0
CJ씨푸드,2018,반기보고서,남,214.0,2.0,4974000000.0
CJ씨푸드,2018,반기보고서,여,193.0,1.0,3049000000.0
CJ씨푸드,2018,사업보고서,남,226.0,5.0,9877000000.0
CJ씨푸드,2018,사업보고서,여,210.0,12.0,6747000000.0
CJ씨푸드,2019,반기보고서,남,216.0,10.0,5026000000.0
CJ씨푸드,2019,반기보고서,여,201.0,10.0,3414000000.0
CJ씨푸드,2019,사업보고서,남,228.0,17.0,10186000000.0
CJ씨푸드,2019,사업보고서,여,195.0,22.0,6681000000.0
CJ씨푸드,2020,반기보고서,남,206.0,7.0,5274000000.0
CJ씨푸드,2020,반기보고서,여,187.0,12.0,3560000000.0
CJ씨푸드,2020,사업보고서,남,221.0,14.0,12052000000.0
CJ씨푸드,2020,사업보고서,여,192.0,29.0,7834000000.0
CJ씨푸드,2021,반기보고서,남,210.0,11.0,5638000000.0
CJ씨푸드,2021,반기보고서,여,188.0,16.0,3885000000.0
CJ씨푸드,2021,사업보고서,남,206.0,8.0,12321000000.0
CJ씨푸드,2021,사업보고서,여,185.0,28.0,8298000000.0
CJ씨푸드,2022,반기보고서,남,175.0,7.0,5076000000.0
CJ씨푸드,2022,반기보고서,여,160.0,20.0,3601000000.0
CJ씨푸드,2022,사업보고서,남,188.0,7.0,12061000000.0
CJ씨푸드,2022,사업보고서,여,159.0,25.0,7921000000.0
CJ씨푸드,2023,반기보고서,남,180.0,5.0,5460000000.0
CJ씨푸드,2023,반기보고서,여,152.0,27.0,3515000000.0
CJ씨푸드,2023,사업보고서,남,173.0,4.0,10666000000.0
CJ씨푸드,2023,사업보고서,여,162.0,16.0,6706000000.0
CJ씨푸드,2024,반기보고서,남,166.0,6.0,5115000000.0
CJ씨푸드,2024,반기보고서,여,160.0,27.0,3597000000.0
CJ씨푸드,2024,사업보고서,남,170.0,10.0,11546000000.0
CJ씨푸드,2024,사업보고서,여,151.0,37.0,8314000000.0
CJ제일제당,2016,반기보고서,남,4069.0,49.0,105842000000.0
CJ제일제당,2016,반기보고서,여,1137.0,43.0,27030000000.0
CJ제일제당,2016,사업보고서,남,4160.0,50.0,245246000000.0
CJ제일제당,2016,사업보고서,여,1131.0,55.0,61621000000.0
CJ제일제당,2017,반기보고서,남,4374.0,50.0,117764000000.0
CJ제일제당,2017,반기보고서,여,1216.0,59.0,30034000000.0
CJ제일제당,2017,사업보고서,남,4639.0,52.0,257949000000.0
CJ제일제당,2017,사업보고서,여,1278.0,83.0,68617000000.0
CJ제일제당,2018,반기보고서,남,5095.0,45.0,129811000000.0
CJ제일제당,2018,반기보고서,여,1476.0,35.0,34240000000.0
CJ제일제당,2018,사업보고서,남,5612.0,53.0,332224000000.0
CJ제일제당,2018,사업보고서,여,1686.0,33.0,84790000000.0
CJ제일제당,2019,반기보고서,남,5861.0,60.0,159680000000.0
CJ제일제당,2019,반기보고서,여,1839.0,50.0,44722000000.0
CJ제일제당,2019,사업보고서,남,5411.0,53.0,312483000000.0
CJ제일제당,2019,사업보고서,여,1877.0,38.0,95196000000.0
CJ제일제당,2020,반기보고서,남,5371.0,34.0,154194000000.0
CJ제일제당,2020,반기보고서,여,1987.0,35.0,49096000000.0
CJ제일제당,2020,사업보고서,남,5493.0,25.0,366486000000.0
CJ제일제당,2020,사업보고서,여,2047.0,30.0,118641000000.0
CJ제일제당,2021,반기보고서,남,5769.0,27.0,172524000000.0
CJ제일제당,2021,반기보고서,여,2102.0,47.0,56944000000.0
CJ제일제당,2021,사업보고서,남,5864.0,26.0,450037000000.0
CJ제일제당,2021,사업보고서,여,2215.0,51.0,150858000000.0
CJ제일제당,2022,반기보고서,남,5979.0,26.0,192587000000.0
CJ제일제당,2022,반기보고서,여,2246.0,51.0,65629000000.0
CJ제일제당,2022,사업보고서,남,6081.0,28.0,472684000000.0
CJ제일제당,2022,사업보고서,여,2389.0,47.0,162617000000.0
CJ제일제당,2023,반기보고서,남,6041.0,26.0,210530000000.0
CJ제일제당,2023,반기보고서,여,2430.0,32.0,75237000000.0
CJ제일제당,2023,사업보고서,남,6085.0,29.0,470731000000.0
CJ제일제당,2023,사업보고서,여,2456.0,42.0,167767000000.0
CJ제일제당,2024,반기보고서,남,5977.0,27.0,215124000000.0
CJ제일제당,2024,반기보고서,여,2396.0,32.0,77579000000.0
CJ제일제당,2024,사업보고서,남,5929.0,29.0,504901000000.0
CJ제일제당,2024,사업보고서,여,2395.0,34.0,177444000000.0
CS홀딩스,2016,반기보고서,남,3.0,0.0,64351000.0
CS홀딩스,2016,사업보고서,남,3.0,0.0,169531000.0
CS홀딩스,2017,반기보고서,남,3.0,0.0,81900.0
CS홀딩스,2017,사업보고서,남,3.0,0.0,196756000.0
